Education Level,Year,Age,Gender,Personal Income,Population Count
Less than high school,2012-01-01,00 to 17,Male,No Income,
Less than high school,2012-01-01,00 to 17,Male,No Income,705113.0
Less than high school,2012-01-01,00 to 17,Male,"5,000 - 9,999",28609.0
Less than high school,2012-01-01,00 to 17,Male,"10,000 - 14,000",4166.0
Less than high school,2012-01-01,00 to 17,Male,"15,000 - 24,999",9647.0
Less than high school,2012-01-01,00 to 17,Male,"25,000 - 34,999",1104.0
Less than high school,2012-01-01,00 to 17,Male,"35,000 - 49,999",1636.0
High school diploma or equivalent,2012-01-01,00 to 17,Male,No Income,
"Some college, less than 4-yr degree",2012-01-01,00 to 17,Male,No Income,
"Some college, less than 4-yr degree",2012-01-01,00 to 17,Male,"10,000 - 14,000",3208.0
Bachelor's degree or higher,2012-01-01,00 to 17,Male,No Income,1680.0
Less than high school,2012-01-01,00 to 17,Female,No Income,
Less than high school,2012-01-01,00 to 17,Female,No Income,641084.0
Less than high school,2012-01-01,00 to 17,Female,"5,000 - 9,999",27841.0
Less than high school,2012-01-01,00 to 17,Female,"10,000 - 14,000",5318.0
Less than high school,2012-01-01,00 to 17,Female,"15,000 - 24,999",2075.0
Less than high school,2012-01-01,00 to 17,Female,"75,000 and over",1553.0
High school diploma or equivalent,2012-01-01,00 to 17,Female,No Income,6291.0
"Some college, less than 4-yr degree",2012-01-01,00 to 17,Female,No Income,4102.0
"Some college, less than 4-yr degree",2012-01-01,00 to 17,Female,"5,000 - 9,999",1871.0
"Some college, less than 4-yr degree",2012-01-01,00 to 17,Female,"10,000 - 14,000",2046.0
"Some college, less than 4-yr degree",2012-01-01,00 to 17,Female,"15,000 - 24,999",1198.0
Bachelor's degree or higher,2012-01-01,00 to 17,Female,No Income,
Bachelor's degree or higher,2012-01-01,00 to 17,Female,"25,000 - 34,999",1198.0
Less than high school,2012-01-01,18 to 64,Male,No Income,357363.0
Less than high school,2012-01-01,18 to 64,Male,"5,000 - 9,999",234399.0
Less than high school,2012-01-01,18 to 64,Male,"10,000 - 14,000",296619.0
Less than high school,2012-01-01,18 to 64,Male,"15,000 - 24,999",478466.0
Less than high school,2012-01-01,18 to 64,Male,"25,000 - 34,999",285220.0
Less than high school,2012-01-01,18 to 64,Male,"35,000 - 49,999",220388.0
Less than high school,2012-01-01,18 to 64,Male,"50,000 - 74,999",85944.0
Less than high school,2012-01-01,18 to 64,Male,"75,000 and over",37162.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,No Income,453889.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"5,000 - 9,999",223998.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"10,000 - 14,000",291838.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"15,000 - 24,999",533300.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"25,000 - 34,999",403456.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"35,000 - 49,999",430104.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"50,000 - 74,999",387094.0
High school diploma or equivalent,2012-01-01,18 to 64,Male,"75,000 and over",168064.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,No Income,385337.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"5,000 - 9,999",295051.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"10,000 - 14,000",254478.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"15,000 - 24,999",457806.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"25,000 - 34,999",366349.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"35,000 - 49,999",438565.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"50,000 - 74,999",449158.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Male,"75,000 and over",477728.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,No Income,143162.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"5,000 - 9,999",84310.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"10,000 - 14,000",92147.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"15,000 - 24,999",226292.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"25,000 - 34,999",229693.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"35,000 - 49,999",402570.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"50,000 - 74,999",552522.0
Bachelor's degree or higher,2012-01-01,18 to 64,Male,"75,000 and over",1511773.0
Less than high school,2012-01-01,18 to 64,Female,No Income,719609.0
Less than high school,2012-01-01,18 to 64,Female,"5,000 - 9,999",279793.0
Less than high school,2012-01-01,18 to 64,Female,"10,000 - 14,000",249688.0
Less than high school,2012-01-01,18 to 64,Female,"15,000 - 24,999",335644.0
Less than high school,2012-01-01,18 to 64,Female,"25,000 - 34,999",98037.0
Less than high school,2012-01-01,18 to 64,Female,"35,000 - 49,999",31925.0
Less than high school,2012-01-01,18 to 64,Female,"50,000 - 74,999",7581.0
Less than high school,2012-01-01,18 to 64,Female,"75,000 and over",4142.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,No Income,569172.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"5,000 - 9,999",289183.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"10,000 - 14,000",285836.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"15,000 - 24,999",478261.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"25,000 - 34,999",317656.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"35,000 - 49,999",255299.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"50,000 - 74,999",132765.0
High school diploma or equivalent,2012-01-01,18 to 64,Female,"75,000 and over",55907.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,No Income,544361.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"5,000 - 9,999",375121.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"10,000 - 14,000",364362.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"15,000 - 24,999",609758.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"25,000 - 34,999",456854.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"35,000 - 49,999",471354.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"50,000 - 74,999",340166.0
"Some college, less than 4-yr degree",2012-01-01,18 to 64,Female,"75,000 and over",200267.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,No Income,337101.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"5,000 - 9,999",181728.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"10,000 - 14,000",147701.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"15,000 - 24,999",283574.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"25,000 - 34,999",310527.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"35,000 - 49,999",485498.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"50,000 - 74,999",684421.0
Bachelor's degree or higher,2012-01-01,18 to 64,Female,"75,000 and over",829905.0
Less than high school,2012-01-01,65 to 80+,Male,No Income,43797.0
Less than high school,2012-01-01,65 to 80+,Male,"5,000 - 9,999",66775.0
Less than high school,2012-01-01,65 to 80+,Male,"10,000 - 14,000",87788.0
Less than high school,2012-01-01,65 to 80+,Male,"15,000 - 24,999",75781.0
Less than high school,2012-01-01,65 to 80+,Male,"25,000 - 34,999",38125.0
Less than high school,2012-01-01,65 to 80+,Male,"35,000 - 49,999",19530.0
Less than high school,2012-01-01,65 to 80+,Male,"50,000 - 74,999",12515.0
Less than high school,2012-01-01,65 to 80+,Male,"75,000 and over",7813.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,No Income,
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"5,000 - 9,999",34505.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"10,000 - 14,000",42768.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"15,000 - 24,999",122757.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"25,000 - 34,999",63083.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"35,000 - 49,999",62391.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"50,000 - 74,999",21505.0
High school diploma or equivalent,2012-01-01,65 to 80+,Male,"75,000 and over",21430.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,No Income,6274.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"5,000 - 9,999",27496.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"10,000 - 14,000",62706.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"15,000 - 24,999",106452.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"25,000 - 34,999",81133.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"35,000 - 49,999",74258.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"50,000 - 74,999",61326.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Male,"75,000 and over",59412.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,No Income,14562.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"5,000 - 9,999",16823.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"10,000 - 14,000",39590.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"15,000 - 24,999",106794.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"25,000 - 34,999",107542.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"35,000 - 49,999",91063.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"50,000 - 74,999",136530.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Male,"75,000 and over",207930.0
Less than high school,2012-01-01,65 to 80+,Female,No Income,78939.0
Less than high school,2012-01-01,65 to 80+,Female,"5,000 - 9,999",171363.0
Less than high school,2012-01-01,65 to 80+,Female,"10,000 - 14,000",128893.0
Less than high school,2012-01-01,65 to 80+,Female,"15,000 - 24,999",93246.0
Less than high school,2012-01-01,65 to 80+,Female,"25,000 - 34,999",8966.0
Less than high school,2012-01-01,65 to 80+,Female,"35,000 - 49,999",9325.0
Less than high school,2012-01-01,65 to 80+,Female,"50,000 - 74,999",9308.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,No Income,40812.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"5,000 - 9,999",138731.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"10,000 - 14,000",168905.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"15,000 - 24,999",202994.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"25,000 - 34,999",65999.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"35,000 - 49,999",43410.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"50,000 - 74,999",35359.0
High school diploma or equivalent,2012-01-01,65 to 80+,Female,"75,000 and over",26205.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,No Income,28392.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"5,000 - 9,999",57101.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"10,000 - 14,000",103317.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"15,000 - 24,999",146503.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"25,000 - 34,999",84364.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"35,000 - 49,999",34919.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"50,000 - 74,999",43737.0
"Some college, less than 4-yr degree",2012-01-01,65 to 80+,Female,"75,000 and over",23888.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Female,No Income,11184.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Female,"5,000 - 9,999",61123.0
Bachelor's degree or higher,2012-01-01,65 to 80+,Female,"10,000 - 14,000",71204.0
